fips,total_deaths,covid_deaths,urban_rural_desc,pct_covid_deaths,county,state
2020,4738,516,Medium metro,0.10890671169269735,Anchorage Municipality,Alaska
2090,1135,140,Small metro,0.12334801762114538,Fairbanks North Star Borough,Alaska
2170,1369,159,Medium metro,0.11614317019722425,Matanuska-Susitna Borough,Alaska
1001,1033,130,Medium metro,0.12584704743465633,Autauga,Alabama
1003,4790,520,Small metro,0.10855949895615867,Baldwin,Alabama
1015,3351,494,Small metro,0.14741868099074903,Calhoun,Alabama
1031,1105,158,Micropolitan,0.1429864253393665,Coffee,Alabama
1033,1487,249,Small metro,0.16745124411566914,Colbert,Alabama
1039,1188,195,Noncore,0.16414141414141414,Covington,Alabama
1043,2333,320,Micropolitan,0.13716245177882555,Cullman,Alabama
1045,939,108,Micropolitan,0.11501597444089456,Dale,Alabama
1047,1044,159,Micropolitan,0.15229885057471265,Dallas,Alabama
1049,1530,165,Noncore,0.10784313725490197,DeKalb,Alabama
1053,875,121,Noncore,0.1382857142857143,Escambia,Alabama
1055,3500,563,Small metro,0.16085714285714287,Etowah,Alabama
1069,4371,849,Small metro,0.19423472889498972,Houston,Alabama
1071,1337,123,Micropolitan,0.09199700822737472,Jackson,Alabama
1073,22289,3050,Large central metro,0.13683879940777963,Jefferson,Alabama
1077,3055,382,Small metro,0.12504091653027824,Lauderdale,Alabama
1081,2713,439,Small metro,0.1618134906008109,Lee,Alabama
1083,1742,171,Medium metro,0.09816303099885189,Limestone,Alabama
1089,9068,1031,Medium metro,0.11369651521835024,Madison,Alabama
1095,2636,312,Micropolitan,0.11836115326251896,Marshall,Alabama
1097,11787,1587,Medium metro,0.13463985747009416,Mobile,Alabama
1101,6919,1200,Medium metro,0.17343546755311462,Montgomery,Alabama
1103,2905,348,Small metro,0.11979345955249569,Morgan,Alabama
1115,1672,151,Large fringe metro,0.090311004784689,St. Clair,Alabama
1117,2906,256,Large fringe metro,0.088093599449415,Shelby,Alabama
1121,1929,225,Micropolitan,0.1166407465007776,Talladega,Alabama
1123,1146,144,Noncore,0.1256544502617801,Tallapoosa,Alabama
1125,5135,853,Small metro,0.16611489776046737,Tuscaloosa,Alabama
1127,2106,283,Large fringe metro,0.13437796771130103,Walker,Alabama
5005,1976,287,Micropolitan,0.14524291497975708,Baxter,Arkansas
5007,4324,722,Medium metro,0.1669750231267345,Benton,Arkansas
5009,938,114,Micropolitan,0.12153518123667377,Boone,Arkansas
5031,4734,831,Small metro,0.17553865652724968,Craighead,Arkansas
5045,2407,343,Medium metro,0.14250103863730784,Faulkner,Arkansas
5051,4010,587,Small metro,0.14638403990024937,Garland,Arkansas
5063,1289,248,Micropolitan,0.19239720713731576,Independence,Arkansas
5069,1851,244,Small metro,0.1318206374932469,Jefferson,Arkansas
5115,1375,115,Micropolitan,0.08363636363636363,Pope,Arkansas
5119,14379,1894,Medium metro,0.13171986925377285,Pulaski,Arkansas
5125,2071,199,Medium metro,0.09608884596813133,Saline,Arkansas
5131,5061,806,Medium metro,0.15925706382137916,Sebastian,Arkansas
5139,1137,128,Micropolitan,0.11257695690413369,Union,Arkansas
5143,5144,683,Medium metro,0.1327760497667185,Washington,Arkansas
5145,2120,267,Micropolitan,0.1259433962264151,White,Arkansas
4001,1153,135,Noncore,0.1170858629661752,Apache,Arizona
4003,2338,192,Small metro,0.08212147134302823,Cochise,Arizona
4005,2586,346,Small metro,0.13379737045630316,Coconino,Arizona
4007,1492,159,Micropolitan,0.10656836461126006,Gila,Arizona
4013,89332,13645,Large central metro,0.1527448170868222,Maricopa,Arizona
4015,7542,912,Small metro,0.12092283214001591,Mohave,Arizona
4017,2269,287,Micropolitan,0.12648743940061702,Navajo,Arizona
4019,25972,3419,Medium metro,0.1316417680579085,Pima,Arizona
4021,5645,506,Large fringe metro,0.08963684676705048,Pinal,Arizona
4025,6871,697,Small metro,0.10144083830592344,Yavapai,Arizona
4027,4320,855,Small metro,0.19791666666666666,Yuma,Arizona
6001,21906,1731,Large central metro,0.07901944672692413,Alameda,California
6007,4834,496,Small metro,0.10260653702937526,Butte,California
6013,16540,1024,Large fringe metro,0.06191051995163241,Contra Costa,California
6017,2894,157,Large fringe metro,0.05425017277125086,El Dorado,California
6019,17851,2422,Medium metro,0.1356786734636715,Fresno,California
6023,2669,115,Micropolitan,0.043087298613713,Humboldt,California
6025,2708,645,Small metro,0.23818316100443132,Imperial,California
6029,14655,1989,Medium metro,0.13572159672466735,Kern,California
6031,2208,471,Small metro,0.21331521739130435,Kings,California
6037,158179,25595,Large central metro,0.16181035409251543,Los Angeles,California
6039,2084,292,Small metro,0.1401151631477927,Madera,California
6041,4163,228,Large fringe metro,0.05476819601249099,Marin,California
6047,3308,434,Medium metro,0.13119709794437726,Merced,California
6053,5766,618,Medium metro,0.10718002081165452,Monterey,California
6055,2556,127,Small metro,0.04968701095461659,Napa,California
6057,2060,131,Micropolitan,0.06359223300970873,Nevada,California
6059,48506,6740,Large central metro,0.1389518822413722,Orange,California
6061,8506,781,Large fringe metro,0.09181754055960499,Placer,California
6065,40913,6330,Large central metro,0.15471854911641778,Riverside,California
6067,27065,2457,Large central metro,0.0907814520598559,Sacramento,California
6071,37820,6677,Large fringe metro,0.1765468006345849,San Bernardino,California
6073,50570,5321,Large central metro,0.10522048645441962,San Diego,California
6075,12991,640,Large central metro,0.04926487568316527,San Francisco,California
6077,12936,1883,Medium metro,0.14556277056277056,San Joaquin,California
6079,4705,324,Medium metro,0.06886291179596174,San Luis Obispo,California
6081,9594,665,Large fringe metro,0.06931415468000834,San Mateo,California
6083,7082,652,Medium metro,0.09206438859079356,Santa Barbara,California
6085,23404,2101,Large central metro,0.0897709793197744,Santa Clara,California
6087,3626,296,Medium metro,0.08163265306122448,Santa Cruz,California
6089,5352,526,Small metro,0.09828101644245142,Shasta,California
6095,7327,575,Medium metro,0.07847686638460488,Solano,California
6097,8723,529,Medium metro,0.06064427375902786,Sonoma,California
6099,12034,1989,Medium metro,0.16528170184477314,Stanislaus,California
6103,1256,135,Micropolitan,0.10748407643312102,Tehama,California
6107,7349,1238,Medium metro,0.16845829364539394,Tulare,California
6109,1431,154,Micropolitan,0.10761705101327743,Tuolumne,California
6111,12647,1263,Medium metro,0.09986558077014311,Ventura,California
6113,2466,218,Large fringe metro,0.08840227088402271,Yolo,California
6115,1714,214,Small metro,0.12485414235705951,Yuba,California
8001,8484,1172,Large fringe metro,0.13814238566713813,Adams,Colorado
8005,9604,1054,Large fringe metro,0.10974593919200333,Arapahoe,Colorado
8013,5052,499,Medium metro,0.09877276326207443,Boulder,Colorado
8031,10815,1015,Large central metro,0.09385113268608414,Denver,Colorado
