fips,poor_fair_health,adult_smoking,adult_obesity,poor_physical_health_days,poor_mental_health_days,excessive_drinking,pct_below_18,pct_above_65,pct_nonhispanic_black,pct_native_american,pct_hispanic,pct_females,pct_nonproficient_english,diabetes_prevalence,physical_inactivity,pct_pacific_islander,pct_asian,pct_nonhispanic_white,severe_housing_issues,food_insecurity,social_associations,insufficient_sleep,frequent_physical_distress,frequent_mental_distress,homeownership,traffic_volume,county,state
1001,0.2088298733,0.1808155718,0.333,4.7438888672,4.6540313965,0.1502603126,0.2367403464,0.1556266974,0.1934317728,0.0048020719,0.02965774,0.5144871495,0.008202245,0.111,0.347,0.0011150879,0.0122479812,0.7430801604,0.1466346154,0.132,12.071202076,0.3590540606,0.1368522862,0.1412934665,0.7489462467,88.457040416,Autauga,Alabama
1003,0.1750913436,0.174890326,0.31,4.2245192015,4.3040564688,0.179583101,0.2160791113,0.2044334975,0.0878397593,0.0077239912000000004,0.0464677877,0.5153837686,0.0054351698,0.107,0.265,6.696572e-4,0.0115034263,0.8311133739,0.1356620093,0.116,10.205617322,0.3330586814,0.1248010767,0.1347533556,0.7361934319,86.997429882,Baldwin,Alabama
1005,0.2959180171,0.2199998453,0.417,5.4302788594,5.1855944125,0.1284401555,0.2086732848,0.194204413,0.4803263534,0.0065913749,0.0427635545,0.4721675174,0.0163168252,0.176,0.235,0.0018488003,0.0045416181,0.4564125236,0.1458333333,0.22,7.5187969925000004,0.3856316713,0.171848975,0.1658625221,0.6139777923,102.29176221,Barbour,Alabama
1007,0.1943972416,0.1911419989,0.376,4.5914824378,4.5516988486,0.1557004237,0.2047767857,0.1647321429,0.2112053571,0.004375,0.02625,0.4678125,0.0026821005,0.145,0.335,0.0011607143,0.0023660714,0.7458928571,0.104964539,0.143,8.3818598906,0.381488654,0.1362657549,0.1401753635,0.7507309942,29.335580011,Bibb,Alabama
1009,0.2174529281,0.1920867197,0.338,4.8608076303,4.8914546677,0.1423059383,0.2315352697,0.1823651452,0.014626556,0.0065352697,0.0957123098,0.5072614108,0.0172451994,0.17,0.303,0.0012102351,0.0031984786,0.868862379,0.1054801164,0.107,8.4463827073,0.3594501042,0.1452316434,0.1485927083,0.7862621359,33.411781963,Blount,Alabama
1011,0.3099910185,0.2289466401,0.372,5.3591593432,4.8913510426,0.1209410123,0.2107910831,0.1638390215,0.6954034326,0.0083842967,0.0796014993,0.4548234366,0.0044075441,0.237,0.246,0.0074965476,0.0018741369,0.212172026,0.1814345992,0.248,7.7602095257,0.4502063587,0.1688096852,0.1585477602,0.7553338875,4.0665381995,Bullock,Alabama
1013,0.2791067318,0.2176533496,0.433,5.4008061965,5.340750195,0.1185740343,0.2224593496,0.2029979675,0.4455792683,0.0037601626,0.0150914634,0.5342987805,0.0049415515,0.192,0.395,5.081301e-4,0.0131605691,0.512550813,0.1315960912,0.206,9.079445145,0.419110839,0.1669670739,0.1691536387,0.6994633274,19.311067904,Butler,Alabama
1015,0.2310773322,0.2061256037,0.385,4.8803767403,4.8160722877,0.1384223015,0.2160977275,0.1771747596,0.2085021483,0.0053991617,0.0391067319,0.5194658593,0.0099137613,0.175,0.317,0.0011025841,0.0096432353,0.7202499191,0.1373419126,0.157,14.469004951,0.4131434398,0.1475440129,0.1519150739,0.6947349721,109.89916308,Calhoun,Alabama
1017,0.239954736,0.1939292705,0.401,4.9411783568,4.8735807661,0.1274573462,0.2080023799,0.1952104715,0.3956567009,0.0030641083,0.0256135654,0.5212553919,0.0011293763,0.199,0.301,4.462294e-4,0.0132678864,0.5523129555,0.159566787,0.179,17.79728888,0.3726657479,0.1524778731,0.1549667308,0.677641314,20.271586909,Chambers,Alabama
1019,0.206984706,0.1749867379,0.35,4.7756141014,4.7112704225,0.1410656285,0.1916871543,0.2297172711,0.0424093423,0.0066072526,0.0162108175,0.5046097111,0.0040163901,0.152,0.313,3.073141e-4,0.0033804548,0.9165642286,0.13,0.125,8.5083343002,0.3535507081,0.1436571083,0.1467794145,0.7895530832,25.908887044,Cherokee,Alabama
