fips,pct_less_than_high_school,pct_high_school_diploma,pct_college_associates,pct_bachelors_or_higher,county,state
1001,11.5,33.6,28.4,26.6,Autauga,Alabama
1003,9.2,27.7,31.3,31.9,Baldwin,Alabama
1005,26.8,35.6,26,11.6,Barbour,Alabama
1007,20.9,44.9,23.8,10.4,Bibb,Alabama
1009,19.5,33.4,34,13.1,Blount,Alabama
1011,25.3,40.3,22.3,12.1,Bullock,Alabama
1013,15,45.2,23.7,16.1,Butler,Alabama
1015,15.6,32.8,33.2,18.5,Calhoun,Alabama
1017,18.4,36.7,31.6,13.3,Chambers,Alabama
1019,18.4,40.3,28.6,12.8,Cherokee,Alabama
1021,18.2,44.4,24.6,12.7,Chilton,Alabama
1023,18.6,37.7,31.8,11.9,Choctaw,Alabama
1025,19.4,41.8,26.6,12.2,Clarke,Alabama
1027,23.3,37.8,28.3,10.6,Clay,Alabama
1029,21,38,25.6,15.4,Cleburne,Alabama
1031,14.1,27.2,35.9,22.8,Coffee,Alabama
1033,14.8,37.8,29.2,18.1,Colbert,Alabama
1035,15.7,51.1,20.4,12.8,Conecuh,Alabama
1037,20,40.3,26.9,12.8,Coosa,Alabama
1039,16.6,37.3,30.8,15.3,Covington,Alabama
1041,20.8,39.5,22.3,17.4,Crenshaw,Alabama
1043,18.4,34.1,33.6,13.9,Cullman,Alabama
1045,13.9,32.3,35.7,18.1,Dale,Alabama
1047,18.2,35.9,31.2,14.7,Dallas,Alabama
1049,25.2,34.2,27.6,13,DeKalb,Alabama
1051,13.4,32.5,29.1,25.1,Elmore,Alabama
1053,18.9,43.7,24.9,12.5,Escambia,Alabama
1055,15.4,32.9,33.9,17.8,Etowah,Alabama
1057,17.4,41.3,28.9,12.4,Fayette,Alabama
1059,22.8,36.6,26.6,14,Franklin,Alabama
1061,19.7,36,31.8,12.5,Geneva,Alabama
1063,20.8,38.6,30.5,10.1,Greene,Alabama
1065,16,43.4,26.4,14.2,Hale,Alabama
1067,20.6,32.6,29.8,17.1,Henry,Alabama
1069,14,31.2,33.1,21.7,Houston,Alabama
1071,16.8,41,28.2,14,Jackson,Alabama
1073,9.9,26.4,30.3,33.4,Jefferson,Alabama
1075,17.7,39.8,30.6,11.9,Lamar,Alabama
1077,12.6,36,27.9,23.5,Lauderdale,Alabama
1079,20.7,41.2,25.5,12.6,Lawrence,Alabama
1081,9.1,23.7,31.8,35.3,Lee,Alabama
1083,15.3,30.4,28.6,25.7,Limestone,Alabama
1085,21.7,39.6,24,14.7,Lowndes,Alabama
1087,18.2,30.2,31.2,20.4,Macon,Alabama
1089,8.3,20.6,28.3,42.8,Madison,Alabama
1091,16.2,38,29.8,16.1,Marengo,Alabama
1093,20.4,34.8,32,12.8,Marion,Alabama
1095,18.4,31.1,31.1,19.4,Marshall,Alabama
1097,13.5,34,29.3,23.2,Mobile,Alabama
1099,14.4,47.2,24.9,13.5,Monroe,Alabama
1101,13.3,25,28.4,33.4,Montgomery,Alabama
1103,15.9,30.4,31.3,22.4,Morgan,Alabama
1105,17.2,36.9,23.1,22.8,Perry,Alabama
1107,18.5,37.2,30.2,14.1,Pickens,Alabama
1109,15,35.7,25.5,23.7,Pike,Alabama
1111,20.4,34.9,28.2,16.5,Randolph,Alabama
1113,16.2,31.4,34.6,17.8,Russell,Alabama
1115,15.4,35.6,32.9,16.1,St. Clair,Alabama
1117,7.3,19.8,29.9,42.9,Shelby,Alabama
1119,13.3,35.4,29.8,21.6,Sumter,Alabama
1121,19.7,33.7,31.6,15,Talladega,Alabama
1123,19.3,32.7,29.5,18.4,Tallapoosa,Alabama
1125,11.7,29.9,27.7,30.7,Tuscaloosa,Alabama
1127,18.2,37.5,33,11.3,Walker,Alabama
1129,17.4,43.1,26.9,12.7,Washington,Alabama
1131,23.5,39.5,24.5,12.5,Wilcox,Alabama
1133,21.2,38.2,27.8,12.8,Winston,Alabama
2013,14.5,43.5,30.5,11.5,Aleutians East Borough,Alaska
2016,10.5,39,33.4,17,Aleutians West Census Area,Alaska
2020,6.1,23.4,34.4,36.1,Anchorage Municipality,Alaska
2050,19.1,46.4,22.6,11.9,Bethel Census Area,Alaska
2060,6,37,34.5,22.5,Bristol Bay Borough,Alaska
2068,1.5,26,31.4,41.1,Denali Borough,Alaska
2070,13.7,37.2,27,22.1,Dillingham Census Area,Alaska
2090,5.5,22.6,40.5,31.4,Fairbanks North Star Borough,Alaska
2100,2.5,30.2,33.6,33.8,Haines Borough,Alaska
2105,6.3,38.5,33.9,21.3,Hoonah-Angoon Census Area,Alaska
2110,3.6,21.6,36.4,38.4,Juneau City and Borough,Alaska
2122,7.3,31.2,36.8,24.6,Kenai Peninsula Borough,Alaska
2130,7.2,29.7,37.8,25.3,Ketchikan Gateway Borough,Alaska
2150,10.2,29.7,32.1,28,Kodiak Island Borough,Alaska
2164,12,44.2,27.7,16.1,Lake and Peninsula Borough,Alaska
2170,7.1,33.1,38.3,21.6,Matanuska-Susitna Borough,Alaska
2180,15.4,41.1,27.3,16.1,Nome Census Area,Alaska
2185,10.3,43,30.2,16.5,North Slope Borough,Alaska
2188,17.5,46.7,22.6,13.2,Northwest Arctic Borough,Alaska
2195,10.3,31.7,29.6,28.4,Petersburg Borough,Alaska
2198,9.2,37.9,34.6,18.3,Prince of Wales-Hyder Census Area,Alaska
2220,5.3,27.4,34,33.4,Sitka City and Borough,Alaska
2230,5.3,29.2,35.9,29.6,Skagway Municipality,Alaska
2240,10.1,34.2,35.9,19.7,Southeast Fairbanks Census Area,Alaska
2261,4.6,30.8,33.7,30.8,Valdez-Cordova Census Area,Alaska
2275,13.5,35.3,31.8,19.4,Wrangell City and Borough,Alaska
2282,8.8,33.5,35.1,22.6,Yakutat City and Borough,Alaska
2290,14,40.2,32.2,13.6,Yukon-Koyukuk Census Area,Alaska
4001,19.6,32.2,35.9,12.3,Apache,Arizona
4003,12.6,24.1,40.2,23.1,Cochise,Arizona
4005,9.5,22,32.3,36.2,Coconino,Arizona
4007,13.7,27.9,39.7,18.7,Gila,Arizona
4009,14.7,28.7,41.4,15.2,Graham,Arizona
4011,11.9,34.7,39.8,13.5,Greenlee,Arizona
4012,23.1,31.1,33.8,12,La Paz,Arizona
4013,12.3,22.4,32.6,32.7,Maricopa,Arizona
4015,13.9,35.3,37.8,12.9,Mohave,Arizona
4017,16.6,30.3,37.8,15.3,Navajo,Arizona
4019,11.6,22.2,33.8,32.4,Pima,Arizona
4021,14.2,29.3,37,19.5,Pinal,Arizona
4023,23.4,28.7,27.5,20.4,Santa Cruz,Arizona
4025,9,25.8,39.3,25.9,Yavapai,Arizona
4027,26.7,25.7,32.5,15,Yuma,Arizona
5001,16.1,38.9,29.2,15.8,Arkansas,Arkansas
5003,16.7,43.7,27.3,12.3,Ashley,Arkansas
5005,11.3,36.3,34.5,17.9,Baxter,Arkansas
5007,11.4,29.2,26.1,33.4,Benton,Arkansas
5009,12.6,33.4,37.9,16.1,Boone,Arkansas
5011,19,41.3,25.4,14.3,Bradley,Arkansas
5013,15.8,44.7,28.1,11.4,Calhoun,Arkansas
5015,13.7,35.9,29.1,21.2,Carroll,Arkansas
5017,19.2,38.1,26.8,15.9,Chicot,Arkansas
5019,10,30.2,33.1,26.6,Clark,Arkansas
5021,17.5,41.9,28,12.6,Clay,Arkansas
5023,14.1,42.8,27.6,15.5,Cleburne,Arkansas
5025,10.4,46.6,26.8,16.2,Cleveland,Arkansas
5027,14.1,41.7,24.5,19.6,Columbia,Arkansas
5029,13,43.8,27.6,15.6,Conway,Arkansas
5031,10.7,34.6,28.5,26.2,Craighead,Arkansas
5033,15,37.3,31.7,16,Crawford,Arkansas
5035,17.4,34.8,30.4,17.4,Crittenden,Arkansas
5037,16.4,41.5,27.7,14.4,Cross,Arkansas
5039,16.1,44.1,28,11.9,Dallas,Arkansas
5041,18.9,44.6,22.4,14.1,Desha,Arkansas
5043,13.1,35.3,28.8,22.8,Drew,Arkansas
5045,8.2,30.5,30.8,30.6,Faulkner,Arkansas
5047,16.3,41,30.6,12.1,Franklin,Arkansas
5049,14.4,35.8,37.5,12.2,Fulton,Arkansas
5051,10.9,31.4,36,21.6,Garland,Arkansas
5053,9.2,43.8,28.3,18.7,Grant,Arkansas
5055,11.8,45.9,26.2,16.2,Greene,Arkansas
5057,17.4,36.8,30.7,15.1,Hempstead,Arkansas
5059,14.2,39,33.5,13.3,Hot Spring,Arkansas
5061,14.8,38.4,33.3,13.6,Howard,Arkansas
5063,14,37.6,30.9,17.5,Independence,Arkansas
5065,16.2,38,32.7,13.1,Izard,Arkansas
5067,19.8,42.5,27.5,10.1,Jackson,Arkansas
5069,13.9,38.9,29.3,18,Jefferson,Arkansas
5071,21.1,40.7,22.9,15.4,Johnson,Arkansas
5073,20.3,40.2,23.7,15.8,Lafayette,Arkansas
5075,15.9,38.6,30.1,15.4,Lawrence,Arkansas
5077,24.2,40.4,24.7,10.7,Lee,Arkansas
5079,18.9,47.3,24.1,9.7,Lincoln,Arkansas
5081,11,44.7,31.8,12.5,Little River,Arkansas
5083,13.8,45.1,27.8,13.3,Logan,Arkansas
5085,10.9,36.7,31.8,20.6,Lonoke,Arkansas
5087,19.4,43.9,22.6,14.2,Madison,Arkansas
5089,13.5,37.5,31.9,17.1,Marion,Arkansas
5091,13.5,35.3,34.4,16.8,Miller,Arkansas
5093,18.9,38.8,28.5,13.8,Mississippi,Arkansas
5095,21.1,41.3,24.9,12.7,Monroe,Arkansas
5097,20.2,36.4,29.9,13.5,Montgomery,Arkansas
5099,9.6,43,32.8,14.6,Nevada,Arkansas
5101,13.5,35.4,30.6,20.5,Newton,Arkansas
5103,14,41.6,30,14.5,Ouachita,Arkansas
5105,15.2,41.7,30.5,12.7,Perry,Arkansas
5107,19.7,31.9,34.6,13.8,Phillips,Arkansas
5109,12.6,38.1,32,17.3,Pike,Arkansas
5111,19.7,43.1,26.2,11.1,Poinsett,Arkansas
5113,15.1,36.5,34.3,14.1,Polk,Arkansas
5115,15.5,35.2,26.5,22.8,Pope,Arkansas
5117,16.8,39.9,27.8,15.4,Prairie,Arkansas
5119,9.6,26,30.1,34.3,Pulaski,Arkansas
5121,17.1,36.1,32.9,13.8,Randolph,Arkansas
5123,18.1,37.6,33.9,10.4,St. Francis,Arkansas
5125,9.4,31.4,32.6,26.7,Saline,Arkansas
5127,20.9,40.8,29.1,9.3,Scott,Arkansas
5129,18.2,40.2,29.7,11.9,Searcy,Arkansas
5131,15.9,31,31.7,21.3,Sebastian,Arkansas
5133,23.5,37.5,26.3,12.8,Sevier,Arkansas
5135,16.5,40.9,32.4,10.2,Sharp,Arkansas
5137,18.8,34.9,32.4,13.9,Stone,Arkansas
5139,15.1,35.5,28.3,21.1,Union,Arkansas
5141,14.9,42.6,28,14.5,Van Buren,Arkansas
5143,15,25.7,26,33.3,Washington,Arkansas
5145,15.6,39.3,24.2,20.9,White,Arkansas
5147,18.3,43.8,23.9,14,Woodruff,Arkansas
5149,21.8,40,25.3,12.8,Yell,Arkansas
6001,11.6,17.6,23.5,47.4,Alameda,California
6003,8.8,28.1,28.6,34.5,Alpine,California
6005,10,27.5,43.3,19.3,Amador,California
6007,10.8,22.5,39.5,27.2,Butte,California
6009,9.8,28,43.9,18.3,Calaveras,California
6011,28.7,26.2,30,15,Colusa,California
6013,10.5,17.3,29.9,42.4,Contra Costa,California
6015,19.9,31,34.2,14.8,Del Norte,California
6017,6.6,21.3,37.9,34.3,El Dorado,California
6019,24,22.7,32.1,21.2,Fresno,California
6021,25.2,27.2,33.4,14.2,Glenn,California
6023,9.5,22.2,37.9,30.4,Humboldt,California
6025,30.3,24.3,30.2,15.2,Imperial,California
6027,11.4,28.6,32.8,27.2,Inyo,California
6029,25.9,27.8,29.9,16.4,Kern,California
6031,26.6,25.3,33.4,14.7,Kings,California
6033,14.2,30.5,39.7,15.5,Lake,California
6035,16.8,34.5,35.7,12.9,Lassen,California
6037,20.9,20.6,26,32.5,Los Angeles,California
6039,28.1,24.9,32.5,14.6,Madera,California
6041,6.7,10.5,23.3,59.5,Marin,California
6043,9.4,24.4,41.7,24.6,Mariposa,California
6045,13.5,25,37.1,24.4,Mendocino,California
6047,30.9,25.3,30.1,13.8,Merced,California
6049,15.2,33,36.6,15.2,Modoc,California
6051,11.4,24.2,35.5,28.8,Mono,California
6053,28.5,20.3,26.5,24.7,Monterey,California
6055,14.5,17.8,32,35.7,Napa,California
6057,5.6,18.4,38.8,37.2,Nevada,California
6059,14.5,17.2,27.7,40.6,Orange,California
6061,5.5,18,36.8,39.7,Placer,California
6063,4.9,26.1,45.3,23.7,Plumas,California
6065,18,26.9,32.9,22.3,Riverside,California
6067,12.3,22.4,34.5,30.9,Sacramento,California
6069,19.5,24.8,36,19.7,San Benito,California
6071,20,26.3,32.7,21,San Bernardino,California
6073,12.6,18.2,30.4,38.8,San Diego,California
6075,11.5,12.1,18.4,58.1,San Francisco,California
6077,20.7,28.3,32.2,18.8,San Joaquin,California
6079,8.7,19.9,36,35.4,San Luis Obispo,California
6081,10.4,14.9,23.8,51,San Mateo,California
6083,19.1,17.8,29,34.2,Santa Barbara,California
6085,11.6,14.1,21.9,52.4,Santa Clara,California
6087,13.7,15.5,30,40.8,Santa Cruz,California
6089,8.9,25.4,43.5,22.2,Shasta,California
6091,7.6,31.7,42.8,17.9,Sierra,California
6093,9.8,25.5,41.6,23.2,Siskiyou,California
6095,11.6,23.8,37.7,26.9,Solano,California
6097,11.2,18.7,34.5,35.5,Sonoma,California
6099,21.1,29.3,32.5,17.1,Stanislaus,California
6101,21.8,23.3,36.6,18.2,Sutter,California
6103,15.5,30.1,38.7,15.7,Tehama,California
6105,7.6,34.8,38,19.5,Trinity,California
6107,29.2,25.5,30.7,14.6,Tulare,California
6109,9.3,28.3,41.9,20.5,Tuolumne,California
6111,15,19.2,32.1,33.8,Ventura,California
6113,13.5,18.1,27,41.4,Yolo,California
6115,17.7,23.6,41.6,17.1,Yuba,California
8001,16.2,28.6,30.9,24.3,Adams,Colorado
8003,13.1,28.5,33.3,25,Alamosa,Colorado
8005,7.4,20.8,29,42.8,Arapahoe,Colorado
8007,7.7,21,34.2,37.2,Archuleta,Colorado
8009,13.8,28,36.8,21.4,Baca,Colorado
8011,15.2,48.7,24.6,11.4,Bent,Colorado
8013,5,11.7,21.2,62.1,Boulder,Colorado
8014,3.1,14.5,26.7,55.7,Broomfield,Colorado
8015,6.5,27,32.7,33.8,Chaffee,Colorado
8017,8.4,36.8,35.7,19.2,Cheyenne,Colorado
8019,1.4,21.9,28.7,48.1,Clear Creek,Colorado
8021,12,33.9,33,21,Conejos,Colorado
8023,19,24.5,37.2,19.3,Costilla,Colorado
8025,13.9,42.6,34.5,9,Crowley,Colorado
8027,6.4,20.8,40.3,32.5,Custer,Colorado
8029,9.3,38.3,30.7,21.7,Delta,Colorado
8031,12,16.8,21.7,49.4,Denver,Colorado
8033,6.2,36.2,33.5,24.1,Dolores,Colorado
8035,1.9,12,28.1,58,Douglas,Colorado
8037,11.7,15.2,25.9,47.2,Eagle,Colorado
8039,3.3,24.1,36.8,35.8,Elbert,Colorado
8041,5.8,20.4,35.3,38.5,El Paso,Colorado
8043,9.9,39.3,32.3,18.5,Fremont,Colorado
8045,11.9,27,30.1,31,Garfield,Colorado
8047,1.5,21.4,37.5,39.6,Gilpin,Colorado
8049,5.4,26.8,29.8,38,Grand,Colorado
8051,2.6,15.9,25.3,56.2,Gunnison,Colorado
8053,6.3,22.8,25.3,45.7,Hinsdale,Colorado
8055,7.6,29.6,41.6,21.1,Huerfano,Colorado
8057,12.6,28.1,39.2,20,Jackson,Colorado
8059,5.5,20.3,29.1,45.2,Jefferson,Colorado
8061,4.3,35.6,38.7,21.4,Kiowa,Colorado
8063,10.5,37.6,33.2,18.7,Kit Carson,Colorado
8065,16.3,25.8,25.6,32.3,Lake,Colorado
8067,4.5,20,31.3,44.2,La Plata,Colorado
8069,4.1,19,29.6,47.3,Larimer,Colorado
8071,12.1,29.5,38.8,19.5,Las Animas,Colorado
8073,9.1,54.5,23.9,12.6,Lincoln,Colorado
8075,10.4,33.7,35.6,20.2,Logan,Colorado
8077,9.5,27.6,34.7,28.2,Mesa,Colorado
8079,2.6,15.8,35.2,46.5,Mineral,Colorado
8081,11.3,38.8,32.4,17.6,Moffat,Colorado
8083,10,29.3,31.2,29.6,Montezuma,Colorado
8085,11,31.4,32.4,25.2,Montrose,Colorado
8087,21.1,31.3,30.1,17.5,Morgan,Colorado
8089,12.8,31.9,36.7,18.6,Otero,Colorado
8091,2.2,15.9,34.1,47.8,Ouray,Colorado
8093,2.3,30.9,37,29.8,Park,Colorado
8095,11.5,33.1,31.6,23.8,Phillips,Colorado
8097,3.1,17,19.1,60.8,Pitkin,Colorado
8099,19.5,26.1,36.1,18.3,Prowers,Colorado
8101,10.3,29.1,38.8,21.8,Pueblo,Colorado
8103,8.1,31.5,37.6,22.7,Rio Blanco,Colorado
8105,13,32.1,30.5,24.5,Rio Grande,Colorado
8107,3.2,20.2,26.8,49.8,Routt,Colorado
8109,16.9,30.5,30.4,22.1,Saguache,Colorado
8111,6.2,25.8,32.4,35.7,San Juan,Colorado
8113,3.2,15.3,22.1,59.4,San Miguel,Colorado
8115,13,29.1,38.4,19.5,Sedgwick,Colorado
8117,7.1,18,22.6,52.4,Summit,Colorado
8119,2.8,23.2,36.3,37.7,Teller,Colorado
8121,8.1,34.5,42,15.4,Washington,Colorado
8123,11.9,27.3,33.2,27.5,Weld,Colorado
8125,11.4,34.4,32.4,21.8,Yuma,Colorado
9001,10,21.5,20.6,47.9,Fairfield,Connecticut
9003,10.3,26.6,25,38.1,Hartford,Connecticut
9005,7,29.9,27.7,35.4,Litchfield,Connecticut
9007,5.8,25.8,26.2,42.2,Middlesex,Connecticut
9009,9.9,30.7,24.4,35,New Haven,Connecticut
9011,7.7,29.5,29.5,33.3,New London,Connecticut
9013,5,27,26.2,41.8,Tolland,Connecticut
9015,11.6,33.2,30.9,24.3,Windham,Connecticut
10001,12.6,32.9,30.8,23.7,Kent,Delaware
10003,8.4,30.8,24.6,36.2,New Castle,Delaware
10005,11.9,31.2,28.7,28.3,Sussex,Delaware
11001,9.1,16.8,15.5,58.5,District of Columbia,District of Columbia
12001,7.4,21.2,28.1,43.3,Alachua,Florida
12003,14.3,42.6,29.9,13.2,Baker,Florida
12005,9.3,31,35.9,23.7,Bay,Florida
12007,20.4,40.4,29.4,9.9,Bradford,Florida
12009,7.8,28.3,33.8,30.2,Brevard,Florida
12011,11,27.3,29.2,32.4,Broward,Florida
12013,23.1,41.6,25.8,9.5,Calhoun,Florida
12015,9.4,34.6,32.6,23.4,Charlotte,Florida
12017,11.6,37.2,32.9,18.3,Citrus,Florida
12019,8.2,31,35.8,24.9,Clay,Florida
12021,12.9,25.8,24.9,36.4,Collier,Florida
12023,13.9,36.7,34.6,14.9,Columbia,Florida
12027,26.5,43.8,18.2,11.5,DeSoto,Florida
12029,21.6,43.3,24.8,10.4,Dixie,Florida
12031,10.2,27.8,31.9,30,Duval,Florida
12033,9.5,27.2,36.7,26.5,Escambia,Florida
12035,7.8,34.3,32.8,25.1,Flagler,Florida
12037,19.3,34.6,27.3,18.8,Franklin,Florida
12039,20.2,36.2,27.4,16.2,Gadsden,Florida
12041,14.6,42.1,29.9,13.4,Gilchrist,Florida
12043,25.5,38.2,25.1,11.2,Glades,Florida
12045,14.5,35.8,30.4,19.2,Gulf,Florida
12047,27,45.4,19.8,7.9,Hamilton,Florida
12049,22.8,49.1,17.8,10.2,Hardee,Florida
12051,33.7,33.7,24.3,8.3,Hendry,Florida
12053,12.1,35.2,34.2,18.4,Hernando,Florida
12055,14.3,38.8,29.8,17.2,Highlands,Florida
12057,11.3,27.1,28,33.5,Hillsborough,Florida
12059,21.3,40.7,27.3,10.7,Holmes,Florida
12061,10.6,30.4,29.8,29.1,Indian River,Florida
12063,19.5,38.4,29.5,12.6,Jackson,Florida
12065,18,34.7,25,22.3,Jefferson,Florida
12067,24.7,38.9,24.6,11.8,Lafayette,Florida
12069,10.5,32.1,33.4,24,Lake,Florida
12071,11.6,31,29.2,28.2,Lee,Florida
12073,6.5,19,28.3,46.2,Leon,Florida
12075,15.1,41.1,31.6,12.2,Levy,Florida
12077,18.6,45.8,21.2,14.4,Liberty,Florida
12079,19,39.7,27.3,14,Madison,Florida
12081,10.3,30.1,29.9,29.8,Manatee,Florida
12083,12.4,36.9,30.6,20.1,Marion,Florida
12085,9,24.9,32,34.1,Martin,Florida
12086,18.6,27.3,24.4,29.8,Miami-Dade,Florida
12087,8.6,26.7,30.3,34.4,Monroe,Florida
12089,8.7,31.7,30,29.6,Nassau,Florida
12091,7.6,24.7,36.5,31.1,Okaloosa,Florida
12093,22.8,39.5,26.3,11.3,Okeechobee,Florida
12095,11.5,24.4,29.6,34.6,Orange,Florida
12097,13.3,31.3,33.7,21.8,Osceola,Florida
12099,11.5,24,27.8,36.7,Palm Beach,Florida
12101,10.5,33.2,32.2,24,Pasco,Florida
12103,8.7,28,31.6,31.7,Pinellas,Florida
12105,15,34.7,30.1,20.2,Polk,Florida
12107,18.2,41.2,28.3,12.3,Putnam,Florida
12109,5.2,21.4,28.7,44.7,St. Johns,Florida
12111,13.7,33.2,31.5,21.6,St. Lucie,Florida
12113,8.7,26.8,36.8,27.7,Santa Rosa,Florida
12115,6.9,28.9,28.8,35.4,Sarasota,Florida
12117,5.7,21.1,33.6,39.6,Seminole,Florida
12119,7.9,30.4,30,31.8,Sumter,Florida
12121,17.7,38.9,27.9,15.5,Suwannee,Florida
12123,21.2,43.8,26.6,8.3,Taylor,Florida
12125,23.5,37.4,29.9,9.2,Union,Florida
12127,9.5,31.8,35,23.7,Volusia,Florida
12129,12.3,36.2,33.2,18.3,Wakulla,Florida
12131,10.9,28.5,32.1,28.5,Walton,Florida
12133,18.7,40.1,28.6,12.5,Washington,Florida
13001,25.1,38.7,26.4,9.8,Appling,Georgia
13003,32.8,34.7,20.3,12.2,Atkinson,Georgia
13005,17.9,42.4,29.2,10.5,Bacon,Georgia
13007,19.4,37.9,29.8,12.9,Baker,Georgia
13009,14.2,35,27.5,23.3,Baldwin,Georgia
13011,24.1,38,24.5,13.4,Banks,Georgia
13013,15.5,34.1,31.4,19,Barrow,Georgia
13015,16.4,33.4,31.6,18.6,Bartow,Georgia
13017,16.5,45.3,27,11.2,Ben Hill,Georgia
13019,21,42.4,25.2,11.4,Berrien,Georgia
13021,14,30.5,30.1,25.4,Bibb,Georgia
13023,11.4,40.9,28.9,18.7,Bleckley,Georgia
13025,21.1,44.6,25.4,8.9,Brantley,Georgia
13027,14.9,35,32.4,17.8,Brooks,Georgia
13029,8.4,24.3,34.2,33.1,Bryan,Georgia
13031,12.7,27.2,33.2,27,Bulloch,Georgia
