fips,never,rarely,sometimes,frequently,always,county,state
1001,0.053,0.074,0.134,0.295,0.444,Autauga,Alabama
1003,0.083,0.059,0.098,0.323,0.436,Baldwin,Alabama
1005,0.067,0.121,0.12,0.201,0.491,Barbour,Alabama
1007,0.02,0.034,0.096,0.278,0.572,Bibb,Alabama
1009,0.053,0.114,0.18,0.194,0.459,Blount,Alabama
1011,0.031,0.04,0.144,0.286,0.5,Bullock,Alabama
1013,0.102,0.053,0.257,0.137,0.451,Butler,Alabama
1015,0.152,0.108,0.13,0.167,0.442,Calhoun,Alabama
1017,0.117,0.037,0.15,0.136,0.56,Chambers,Alabama
1019,0.135,0.027,0.161,0.158,0.52,Cherokee,Alabama
1021,0.06,0.07,0.058,0.194,0.618,Chilton,Alabama
1023,0.049,0.038,0.126,0.219,0.568,Choctaw,Alabama
1025,0.049,0.088,0.164,0.268,0.43,Clarke,Alabama
1027,0.148,0.158,0.195,0.169,0.329,Clay,Alabama
1029,0.151,0.125,0.138,0.217,0.368,Cleburne,Alabama
1031,0.101,0.152,0.094,0.186,0.466,Coffee,Alabama
1033,0.082,0.096,0.152,0.159,0.51,Colbert,Alabama
1035,0.099,0.052,0.259,0.192,0.399,Conecuh,Alabama
1037,0.055,0.131,0.167,0.263,0.384,Coosa,Alabama
1039,0.187,0.128,0.129,0.201,0.356,Covington,Alabama
1041,0.06,0.091,0.199,0.233,0.416,Crenshaw,Alabama
1043,0.13,0.024,0.249,0.217,0.379,Cullman,Alabama
1045,0.089,0.113,0.118,0.22,0.46,Dale,Alabama
1047,0.095,0.1,0.159,0.122,0.524,Dallas,Alabama
1049,0.084,0.051,0.106,0.179,0.58,DeKalb,Alabama
1051,0.042,0.095,0.127,0.252,0.485,Elmore,Alabama
1053,0.114,0.026,0.188,0.285,0.387,Escambia,Alabama
1055,0.096,0.103,0.178,0.122,0.501,Etowah,Alabama
1057,0.138,0.048,0.151,0.233,0.429,Fayette,Alabama
1059,0.065,0.071,0.223,0.156,0.484,Franklin,Alabama
1061,0.176,0.131,0.089,0.158,0.445,Geneva,Alabama
1063,0.03,0.053,0.127,0.167,0.623,Greene,Alabama
1065,0.026,0.061,0.084,0.191,0.639,Hale,Alabama
1067,0.066,0.068,0.17,0.258,0.438,Henry,Alabama
1069,0.085,0.079,0.135,0.268,0.433,Houston,Alabama
1071,0.092,0.089,0.11,0.249,0.46,Jackson,Alabama
1073,0.049,0.037,0.107,0.179,0.628,Jefferson,Alabama
1075,0.107,0.045,0.132,0.189,0.527,Lamar,Alabama
1077,0.093,0.119,0.141,0.179,0.469,Lauderdale,Alabama
1079,0.162,0.08,0.088,0.251,0.419,Lawrence,Alabama
1081,0.053,0.064,0.138,0.183,0.562,Lee,Alabama
1083,0.102,0.034,0.133,0.336,0.395,Limestone,Alabama
1085,0.12,0.073,0.145,0.199,0.464,Lowndes,Alabama
1087,0.008,0.033,0.241,0.172,0.545,Macon,Alabama
1089,0.062,0.05,0.123,0.177,0.589,Madison,Alabama
1091,0.033,0.151,0.118,0.186,0.512,Marengo,Alabama
1093,0.129,0.064,0.246,0.207,0.353,Marion,Alabama
1095,0.075,0.064,0.129,0.253,0.479,Marshall,Alabama
1097,0.077,0.07,0.102,0.244,0.506,Mobile,Alabama
1099,0.112,0.041,0.182,0.288,0.378,Monroe,Alabama
1101,0.056,0.095,0.123,0.212,0.513,Montgomery,Alabama
1103,0.078,0.077,0.082,0.304,0.459,Morgan,Alabama
1105,0.025,0.084,0.087,0.187,0.618,Perry,Alabama
1107,0.031,0.06,0.169,0.157,0.584,Pickens,Alabama
1109,0.06,0.131,0.145,0.333,0.33,Pike,Alabama
1111,0.158,0.226,0.105,0.144,0.368,Randolph,Alabama
1113,0.069,0.067,0.08,0.213,0.57,Russell,Alabama
1115,0.027,0.134,0.144,0.2,0.495,St. Clair,Alabama
1117,0.022,0.075,0.118,0.24,0.545,Shelby,Alabama
1119,0.055,0.068,0.118,0.197,0.562,Sumter,Alabama
1121,0.113,0.15,0.208,0.169,0.361,Talladega,Alabama
1123,0.067,0.095,0.136,0.296,0.406,Tallapoosa,Alabama
1125,0.041,0.036,0.144,0.247,0.532,Tuscaloosa,Alabama
1127,0.09,0.081,0.145,0.256,0.429,Walker,Alabama
1129,0.018,0.077,0.102,0.307,0.495,Washington,Alabama
1131,0.061,0.098,0.199,0.187,0.455,Wilcox,Alabama
1133,0.13,0.046,0.328,0.183,0.312,Winston,Alabama
2013,0.067,0.032,0.034,0.316,0.551,Aleutians East Borough,Alaska
2016,0.078,0.031,0.03,0.337,0.524,Aleutians West Census Area,Alaska
2020,0.042,0.05,0.049,0.196,0.663,Anchorage Municipality,Alaska
2050,0.101,0.022,0.014,0.45,0.413,Bethel Census Area,Alaska
2060,0.048,0.037,0.042,0.308,0.564,Bristol Bay Borough,Alaska
2068,0.062,0.081,0.067,0.225,0.565,Denali Borough,Alaska
2070,0.072,0.025,0.027,0.391,0.484,Dillingham Census Area,Alaska
2090,0.094,0.084,0.175,0.234,0.413,Fairbanks North Star Borough,Alaska
2100,0.055,0.05,0.123,0.419,0.352,Haines Borough,Alaska
2105,0.051,0.064,0.13,0.399,0.356,Hoonah-Angoon Census Area,Alaska
2110,0.051,0.067,0.133,0.396,0.353,Juneau City and Borough,Alaska
2122,0.043,0.047,0.051,0.197,0.662,Kenai Peninsula Borough,Alaska
2130,0.025,0.149,0.174,0.256,0.396,Ketchikan Gateway Borough,Alaska
2150,0.042,0.043,0.049,0.233,0.633,Kodiak Island Borough,Alaska
2164,0.055,0.036,0.04,0.299,0.571,Lake and Peninsula Borough,Alaska
2170,0.042,0.051,0.048,0.198,0.66,Matanuska-Susitna Borough,Alaska
2180,0.086,0.061,0.009,0.544,0.3,Nome Census Area,Alaska
2185,0.036,0.059,0.235,0.215,0.455,North Slope Borough,Alaska
2188,0.035,0.188,0.051,0.474,0.252,Northwest Arctic Borough,Alaska
2195,0.042,0.095,0.148,0.349,0.365,Petersburg Borough,Alaska
2198,0.033,0.125,0.161,0.3,0.38,Prince of Wales-Hyder Census Area,Alaska
2220,0.048,0.077,0.137,0.381,0.357,Sitka City and Borough,Alaska
2230,0.058,0.038,0.116,0.435,0.354,Skagway Municipality,Alaska
2240,0.064,0.071,0.14,0.272,0.453,Southeast Fairbanks Census Area,Alaska
2261,0.04,0.049,0.052,0.197,0.663,Valdez-Cordova Census Area,Alaska
2275,0.035,0.119,0.16,0.312,0.374,Wrangell City and Borough,Alaska
2282,0.047,0.012,0.078,0.381,0.481,Yakutat City and Borough,Alaska
2290,0.044,0.047,0.126,0.425,0.358,Yukon-Koyukuk Census Area,Alaska
4001,0.055,0.063,0.031,0.15,0.701,Apache,Arizona
4003,0.053,0.025,0.147,0.194,0.581,Cochise,Arizona
4005,0.039,0.08,0.07,0.11,0.702,Coconino,Arizona
4007,0.073,0.014,0.03,0.336,0.547,Gila,Arizona
4009,0.095,0.067,0.237,0.049,0.553,Graham,Arizona
4011,0.111,0.089,0.167,0.089,0.544,Greenlee,Arizona
4012,0.031,0.064,0.162,0.173,0.57,La Paz,Arizona
4013,0.023,0.025,0.059,0.158,0.734,Maricopa,Arizona
4015,0.051,0.096,0.104,0.164,0.585,Mohave,Arizona
4017,0.091,0.108,0.059,0.139,0.602,Navajo,Arizona
4019,0.023,0.024,0.073,0.121,0.759,Pima,Arizona
4021,0.033,0.055,0.096,0.148,0.667,Pinal,Arizona
4023,0.028,0.002,0.058,0.074,0.837,Santa Cruz,Arizona
4025,0.031,0.073,0.081,0.176,0.639,Yavapai,Arizona
4027,0.008,0.013,0.046,0.129,0.804,Yuma,Arizona
5001,0.019,0.073,0.134,0.216,0.557,Arkansas,Arkansas
5003,0.023,0.103,0.163,0.117,0.595,Ashley,Arkansas
5005,0.15,0.104,0.108,0.104,0.534,Baxter,Arkansas
5007,0.081,0.034,0.083,0.16,0.643,Benton,Arkansas
5009,0.129,0.145,0.122,0.189,0.416,Boone,Arkansas
5011,0.094,0.102,0.175,0.184,0.445,Bradley,Arkansas
5013,0.145,0.132,0.108,0.211,0.404,Calhoun,Arkansas
5015,0.111,0.068,0.115,0.129,0.577,Carroll,Arkansas
5017,0.104,0.074,0.193,0.097,0.531,Chicot,Arkansas
5019,0.08,0.091,0.08,0.231,0.518,Clark,Arkansas
5021,0.082,0.124,0.157,0.242,0.395,Clay,Arkansas
5023,0.036,0.065,0.093,0.259,0.546,Cleburne,Arkansas
5025,0.107,0.03,0.16,0.231,0.472,Cleveland,Arkansas
5027,0.241,0.072,0.054,0.25,0.383,Columbia,Arkansas
5029,0.071,0.12,0.137,0.347,0.325,Conway,Arkansas
5031,0.078,0.123,0.138,0.341,0.32,Craighead,Arkansas
5033,0.155,0.1,0.167,0.211,0.367,Crawford,Arkansas
5035,0.059,0.017,0.11,0.306,0.508,Crittenden,Arkansas
5037,0.097,0.017,0.163,0.319,0.404,Cross,Arkansas
5039,0.197,0.055,0.093,0.196,0.459,Dallas,Arkansas
5041,0.078,0.033,0.19,0.189,0.509,Desha,Arkansas
5043,0.063,0.049,0.207,0.159,0.523,Drew,Arkansas
5045,0.066,0.027,0.077,0.403,0.426,Faulkner,Arkansas
5047,0.149,0.079,0.245,0.187,0.34,Franklin,Arkansas
5049,0.105,0.121,0.226,0.197,0.351,Fulton,Arkansas
5051,0.025,0.102,0.068,0.21,0.596,Garland,Arkansas
5053,0.082,0.043,0.127,0.258,0.489,Grant,Arkansas
5055,0.062,0.141,0.154,0.346,0.297,Greene,Arkansas
5057,0.098,0.073,0.096,0.179,0.554,Hempstead,Arkansas
5059,0.059,0.086,0.079,0.216,0.56,Hot Spring,Arkansas
5061,0.081,0.07,0.145,0.145,0.56,Howard,Arkansas
5063,0.137,0.156,0.088,0.179,0.44,Independence,Arkansas
5065,0.086,0.121,0.133,0.23,0.43,Izard,Arkansas
5067,0.116,0.103,0.135,0.179,0.468,Jackson,Arkansas
5069,0.042,0.036,0.172,0.173,0.577,Jefferson,Arkansas
5071,0.144,0.103,0.205,0.221,0.328,Johnson,Arkansas
5073,0.12,0.082,0.078,0.234,0.486,Lafayette,Arkansas
5075,0.085,0.128,0.153,0.298,0.337,Lawrence,Arkansas
5077,0.103,0.032,0.195,0.263,0.407,Lee,Arkansas
5079,0.035,0.016,0.194,0.201,0.554,Lincoln,Arkansas
5081,0.074,0.121,0.106,0.201,0.499,Little River,Arkansas
5083,0.148,0.11,0.12,0.143,0.479,Logan,Arkansas
5085,0.048,0.045,0.136,0.297,0.474,Lonoke,Arkansas
5087,0.075,0.088,0.159,0.114,0.564,Madison,Arkansas
5089,0.171,0.112,0.119,0.108,0.49,Marion,Arkansas
5091,0.064,0.124,0.106,0.219,0.487,Miller,Arkansas
5093,0.033,0.109,0.134,0.284,0.44,Mississippi,Arkansas
5095,0.068,0.128,0.127,0.271,0.406,Monroe,Arkansas
5097,0.081,0.095,0.136,0.166,0.521,Montgomery,Arkansas
5099,0.143,0.048,0.084,0.224,0.501,Nevada,Arkansas
5101,0.107,0.14,0.084,0.261,0.408,Newton,Arkansas
5103,0.151,0.097,0.06,0.242,0.449,Ouachita,Arkansas
5105,0.098,0.051,0.08,0.367,0.404,Perry,Arkansas
5107,0.052,0.061,0.134,0.276,0.477,Phillips,Arkansas
5109,0.064,0.061,0.2,0.176,0.501,Pike,Arkansas
5111,0.077,0.098,0.141,0.287,0.397,Poinsett,Arkansas
