fips,log_poverty_rating,county,state
1001,3.8275631112547237,Autauga,Alabama
1003,4.349471799214386,Baldwin,Alabama
1005,3.7715139899796664,Barbour,Alabama
1007,3.612889769287485,Bibb,Alabama
1009,3.969602264848539,Blount,Alabama
1011,3.404320467221731,Bullock,Alabama
1013,3.6153186566114788,Butler,Alabama
1015,4.278479223046323,Calhoun,Alabama
1017,3.807196660710947,Chambers,Alabama
1019,3.615002614524588,Cherokee,Alabama
1021,3.847819347295239,Chilton,Alabama
1023,3.4488608456074408,Choctaw,Alabama
1025,3.631545227834309,Clarke,Alabama
1027,3.3336487565147013,Clay,Alabama
1029,3.2889196056617265,Cleburne,Alabama
1031,3.8884041677370464,Coffee,Alabama
1033,3.9029813997975027,Colbert,Alabama
1035,3.4252080511386565,Conecuh,Alabama
1037,3.252610340567373,Coosa,Alabama
1039,3.797198269838959,Covington,Alabama
1041,3.359645792674543,Crenshaw,Alabama
1043,4.003805073565025,Cullman,Alabama
1045,3.9408649759667216,Dale,Alabama
1047,3.9792295930221555,Dallas,Alabama
1049,4.108835527934605,DeKalb,Alabama
1051,3.9421569284674907,Elmore,Alabama
1053,3.843855422623161,Escambia,Alabama
1055,4.274180949419634,Etowah,Alabama
1057,3.4347285417797577,Fayette,Alabama
1059,3.6980135039391815,Franklin,Alabama
1061,3.621176281775035,Geneva,Alabama
1063,3.40705081480425,Greene,Alabama
1065,3.470704429722788,Hale,Alabama
1067,3.4652340949880145,Henry,Alabama
1069,4.305501841464033,Houston,Alabama
1071,3.873959654743353,Jackson,Alabama
1073,5.01823433878505,Jefferson,Alabama
1075,3.315970345456918,Lamar,Alabama
1077,4.152074202768228,Lauderdale,Alabama
1079,3.761401557498631,Lawrence,Alabama
1081,4.393241677449102,Lee,Alabama
1083,4.062017598857112,Limestone,Alabama
1085,3.4073909044707316,Lowndes,Alabama
1087,3.682776646314434,Macon,Alabama
1089,4.621061978712945,Madison,Alabama
1091,3.6628522332647964,Marengo,Alabama
1093,3.6886867242841235,Marion,Alabama
1095,4.175772659601535,Marshall,Alabama
1097,4.856027654742924,Mobile,Alabama
1099,3.678518379040114,Monroe,Alabama
1101,4.534888758228809,Montgomery,Alabama
1103,4.208064948147398,Morgan,Alabama
1105,3.4437322414015967,Perry,Alabama
1107,3.6414741105040997,Pickens,Alabama
1109,3.828788748184953,Pike,Alabama
1111,3.5917322389518356,Randolph,Alabama
1113,4.0343476584468485,Russell,Alabama
1115,3.9903388547876015,St. Clair,Alabama
1117,4.128011332575975,Shelby,Alabama
1119,3.622731965164719,Sumter,Alabama
1121,4.124699808932117,Talladega,Alabama
1123,3.8021577531869615,Tallapoosa,Alabama
1125,4.508206402759144,Tuscaloosa,Alabama
1127,4.034909073367748,Walker,Alabama
1129,3.4768316285122607,Washington,Alabama
1131,3.522313795156667,Wilcox,Alabama
1133,3.589055531052344,Winston,Alabama
2013,2.69196510276736,Aleutians East Borough,Alaska
2016,2.617000341120899,Aleutians West Census Area,Alaska
2020,4.425469006220507,Anchorage Municipality,Alaska
2050,3.6282867310895144,Bethel Census Area,Alaska
2060,1.9030899869919435,Bristol Bay Borough,Alaska
2068,2.12057393120585,Denali Borough,Alaska
2070,2.9459607035775686,Dillingham Census Area,Alaska
2090,3.8232133132826673,Fairbanks North Star Borough,Alaska
2100,2.392696953259666,Haines Borough,Alaska
2105,2.526339277389844,Hoonah-Angoon Census Area,Alaska
2110,3.2902572693945182,Juneau City and Borough,Alaska
2122,3.7756832490260437,Kenai Peninsula Borough,Alaska
2130,3.1082266563749283,Ketchikan Gateway Borough,Alaska
2150,2.9585638832219674,Kodiak Island Borough,Alaska
2164,2.439332693830263,Lake and Peninsula Borough,Alaska
2170,4.006123606211855,Matanuska-Susitna Borough,Alaska
2180,3.3081373786380386,Nome Census Area,Alaska
2185,3.04493154614916,North Slope Borough,Alaska
2188,3.256477206241677,Northwest Arctic Borough,Alaska
2195,2.3404441148401185,Petersburg Borough,Alaska
2198,3.0354297381845483,Prince of Wales-Hyder Census Area,Alaska
2220,2.8273692730538253,Sitka City and Borough,Alaska
2230,1.6720978579357175,Skagway Municipality,Alaska
2240,2.91539983521227,Southeast Fairbanks Census Area,Alaska
2261,2.8926510338773004,Valdez-Cordova Census Area,Alaska
2275,2.380211241711606,Wrangell City and Borough,Alaska
2282,1.9294189257142926,Yakutat City and Borough,Alaska
2290,3.1024337056813365,Yukon-Koyukuk Census Area,Alaska
4001,4.3743816980508825,Apache,Arizona
4003,4.304748959487096,Cochise,Arizona
4005,4.318418142209945,Coconino,Arizona
4007,4.049954148022047,Gila,Arizona
4009,3.8577545220594422,Graham,Arizona
4011,2.9425041061680806,Greenlee,Arizona
4012,3.6620964454179235,La Paz,Arizona
4013,5.732128276511418,Maricopa,Arizona
4015,4.520915647045442,Mohave,Arizona
4017,4.438384107034714,Navajo,Arizona
4019,5.154907605777311,Pima,Arizona
4021,4.7240709653828326,Pinal,Arizona
4023,3.9389198122447717,Santa Cruz,Arizona
4025,4.444747222225778,Yavapai,Arizona
4027,4.620989224734163,Yuma,Arizona
5001,3.433609843323718,Arkansas,Arkansas
5003,3.5566642621225686,Ashley,Arkansas
5005,3.719993826367604,Baxter,Arkansas
5007,4.3896090160519865,Benton,Arkansas
5009,3.746011107751926,Boone,Arkansas
5011,3.3848907965305544,Bradley,Arkansas
5013,2.8870543780509568,Calhoun,Arkansas
5015,3.6146863422820124,Carroll,Arkansas
5017,3.462397997898956,Chicot,Arkansas
5019,3.598899887063883,Clark,Arkansas
5021,3.4299136977637543,Clay,Arkansas
5023,3.538070787043172,Cleburne,Arkansas
5025,3.03342375548695,Cleveland,Arkansas
5027,3.6540802353065707,Columbia,Arkansas
5029,3.5071809772602407,Conway,Arkansas
5031,4.254306332331286,Craighead,Arkansas
5033,4.058274146685951,Crawford,Arkansas
5035,4.0220157398177205,Crittenden,Arkansas
5037,3.4584867637982066,Cross,Arkansas
5039,3.09377178149873,Dallas,Arkansas
5041,3.456214155357989,Desha,Arkansas
5043,3.5039268041935103,Drew,Arkansas
5045,4.242019364975552,Faulkner,Arkansas
5047,3.45178643552429,Franklin,Arkansas
5049,3.336259552014193,Fulton,Arkansas
5051,4.2183253966096705,Garland,Arkansas
5053,3.3402457615679317,Grant,Arkansas
5055,3.840419777736486,Greene,Arkansas
5057,3.5943925503754266,Hempstead,Arkansas
5059,3.800854491503561,Hot Spring,Arkansas
5061,3.3376588910261424,Howard,Arkansas
5063,3.767304317453273,Independence,Arkansas
5065,3.3016809492935764,Izard,Arkansas
5067,3.52022143588196,Jackson,Arkansas
5069,4.174408732073123,Jefferson,Arkansas
5071,3.655234507034294,Johnson,Arkansas
5073,3.2187979981117376,Lafayette,Arkansas
5075,3.4604467838807205,Lawrence,Arkansas
5077,3.400537989391946,Lee,Arkansas
5079,3.4094258686714434,Lincoln,Arkansas
5081,3.333850145102545,Little River,Arkansas
5083,3.561101383649056,Logan,Arkansas
5085,3.8898617212581885,Lonoke,Arkansas
5087,3.431202884556517,Madison,Arkansas
5089,3.4292676664331685,Marion,Arkansas
5091,3.7715139899796664,Miller,Arkansas
5093,3.9603756314101584,Mississippi,Arkansas
5095,3.225567713439471,Monroe,Arkansas
5097,3.244524511570084,Montgomery,Arkansas
5099,3.2902572693945182,Nevada,Arkansas
5101,3.141763230275788,Newton,Arkansas
5103,3.5986810989071634,Ouachita,Arkansas
5105,3.2329961103921536,Perry,Arkansas
5107,3.766487206239694,Phillips,Arkansas
5109,3.2477278329097232,Pike,Arkansas
5111,3.7274599208579087,Poinsett,Arkansas
5113,3.6010817277840235,Polk,Arkansas
5115,4.009365898346244,Pope,Arkansas
5117,3.0755469613925306,Prairie,Arkansas
5119,4.7483431044875495,Pulaski,Arkansas
5121,3.4823017672234426,Randolph,Arkansas
5123,3.8247114434647345,St. Francis,Arkansas
5125,4.066884743129771,Saline,Arkansas
5127,3.2973227142053028,Scott,Arkansas
5129,3.2405492482826,Searcy,Arkansas
5131,4.299354734958507,Sebastian,Arkansas
5133,3.47158505418519,Sevier,Arkansas
5135,3.6028193424326997,Sharp,Arkansas
5137,3.376211850282673,Stone,Arkansas
5139,3.8582965245338854,Union,Arkansas
5141,3.5098742850047193,Van Buren,Arkansas
5143,4.540717288010722,Washington,Arkansas
5145,4.064944426038617,White,Arkansas
5147,3.2247919564926817,Woodruff,Arkansas
5149,3.5138831856110926,Yell,Arkansas
6001,5.165288851643376,Alameda,California
6003,2.285557309007774,Alpine,California
6005,3.539327063539375,Amador,California
6007,4.537856858168981,Butte,California
6009,3.7385427409287852,Calaveras,California
6011,3.4072208929273966,Colusa,California
6013,4.956562191600911,Contra Costa,California
6015,3.6478717653062325,Del Norte,California
6017,4.221388153306345,El Dorado,California
6019,5.3029215657226745,Fresno,California
6021,3.531095546870028,Glenn,California
6023,4.400296167695898,Humboldt,California
6025,4.580012112529424,Imperial,California
6027,3.3161800988934527,Inyo,California
6029,5.217002004845443,Kern,California
6031,4.339252634032699,Kings,California
6033,4.065280871102755,Lake,California
6035,3.578524605274993,Lassen,California
6037,6.120324469257053,Los Angeles,California
6039,4.420104340950183,Madera,California
6041,4.2394746634651845,Marin,California
6043,3.409087369447835,Mariposa,California
6045,4.078456818053293,Mendocino,California
6047,4.662861672294625,Merced,California
6049,3.244771761495295,Modoc,California
6051,3.157456768134226,Mono,California
6053,4.720026926819729,Monterey,California
6055,3.995503570265006,Napa,California
6057,3.966986025117938,Nevada,California
6059,5.473717559352632,Orange,California
6061,4.417803722639881,Placer,California
6063,3.385963570600697,Plumas,California
6065,5.439258462611598,Riverside,California
6067,5.2855415571087825,Sacramento,California
6069,3.8141143561291253,San Benito,California
6071,5.4538669782835685,San Bernardino,California
6073,5.52508888244913,San Diego,California
6075,4.91706416401286,San Francisco,California
6077,5.007628309256807,San Joaquin,California
6079,4.493876110852823,San Luis Obispo,California
6081,4.665843551925318,San Mateo,California
6083,4.710100433223009,Santa Barbara,California
6085,5.0659567113500925,Santa Clara,California
6087,4.439821986424003,Santa Cruz,California
6089,4.3712156820423615,Shasta,California
6091,2.574031267727719,Sierra,California
6093,3.8741337788279724,Siskiyou,California
6095,4.591265004391542,Solano,California
6097,4.5410547788827005,Sonoma,California
6099,4.849671194740993,Stanislaus,California
6101,4.090258052931317,Sutter,California
6103,4.020527012274563,Tehama,California
6105,3.2979792441593623,Trinity,California
6107,4.939219635854818,Tulare,California
6109,3.7620029693751156,Tuolumne,California
6111,4.835576435318049,Ventura,California
6113,4.551547581274466,Yolo,California
6115,4.069963937850763,Yuba,California
8001,4.6763643353293975,Adams,Colorado
8003,3.479863113023098,Alamosa,Colorado
8005,4.672762651047436,Arapahoe,Colorado
8007,3.17666993266815,Archuleta,Colorado
8009,2.829303772831025,Baca,Colorado
8011,3.1316186643491255,Bent,Colorado
8013,4.531031618926746,Boulder,Colorado
8014,3.457124626303409,Broomfield,Colorado
8015,3.315970345456918,Chaffee,Colorado
8017,2.385606273598312,Cheyenne,Colorado
8019,2.8506462351830666,Clear Creek,Colorado
8021,3.2105860249051563,Conejos,Colorado
8023,2.9800033715837464,Costilla,Colorado
8025,3.0965624383741357,Crowley,Colorado
8027,2.7611758131557314,Custer,Colorado
8029,3.6629466143326246,Delta,Colorado
8031,4.934599438218073,Denver,Colorado
8033,2.4183012913197452,Dolores,Colorado
8035,3.9832653525665456,Douglas,Colorado
8037,3.6399842480415887,Eagle,Colorado
8039,3.180125875164054,Elbert,Colorado
8041,4.790228849914659,El Paso,Colorado
8043,3.8035253955765325,Fremont,Colorado
8045,3.7554174628109362,Garfield,Colorado
8047,2.6242820958356683,Gilpin,Colorado
8049,3.104145550554008,Grand,Colorado
8051,3.2833012287035497,Gunnison,Colorado
8053,1.8573324964312685,Hinsdale,Colorado
8055,3.1300119496719043,Huerfano,Colorado
