fips,unemployment_rate,median_household_income,county,state
1001,4.9,58233,Autauga,Alabama
1003,5.6,59871,Baldwin,Alabama
1005,7,35972,Barbour,Alabama
1007,6.6,47918,Bibb,Alabama
1009,4.1,52902,Blount,Alabama
1011,5.5,31906,Bullock,Alabama
1013,8.8,39944,Butler,Alabama
1015,7.1,47747,Calhoun,Alabama
1017,6.8,42015,Chambers,Alabama
1019,4.6,45982,Cherokee,Alabama
1021,5,49692,Chilton,Alabama
1023,6.7,39808,Choctaw,Alabama
1025,9,43822,Clarke,Alabama
1027,4,40562,Clay,Alabama
1029,4.6,51276,Cleburne,Alabama
1031,4.4,57299,Coffee,Alabama
1033,6.6,46683,Colbert,Alabama
1035,7.3,41539,Conecuh,Alabama
1037,5.5,42024,Coosa,Alabama
1039,4.9,44836,Covington,Alabama
1041,5.7,43309,Crenshaw,Alabama
1043,4.3,50897,Cullman,Alabama
1045,4.9,45120,Dale,Alabama
1047,10.7,34034,Dallas,Alabama
1049,4.5,44277,DeKalb,Alabama
1051,4.9,62310,Elmore,Alabama
1053,6,42712,Escambia,Alabama
1055,7.7,43047,Etowah,Alabama
1057,5,44212,Fayette,Alabama
1059,4.4,44874,Franklin,Alabama
1061,4.1,43089,Geneva,Alabama
1063,10.9,28699,Greene,Alabama
1065,9.4,40745,Hale,Alabama
1067,4.8,48597,Henry,Alabama
1069,5.4,50138,Houston,Alabama
1071,5.3,44322,Jackson,Alabama
1073,6.2,54127,Jefferson,Alabama
1075,4.9,42686,Lamar,Alabama
1077,5.5,48188,Lauderdale,Alabama
1079,4.9,47797,Lawrence,Alabama
1081,5.2,54160,Lee,Alabama
1083,4.3,64729,Limestone,Alabama
1085,13.3,33930,Lowndes,Alabama
1087,9.6,34281,Macon,Alabama
1089,4.6,68609,Madison,Alabama
1091,6.2,38838,Marengo,Alabama
1093,5.1,44675,Marion,Alabama
1095,4.2,48913,Marshall,Alabama
1097,7.9,49492,Mobile,Alabama
1099,8.2,40005,Monroe,Alabama
1101,7.8,52711,Montgomery,Alabama
1103,4.5,54355,Morgan,Alabama
1105,10.9,29572,Perry,Alabama
1107,6.5,40249,Pickens,Alabama
1109,4.9,41271,Pike,Alabama
1111,4.7,42922,Randolph,Alabama
1113,5.1,43670,Russell,Alabama
1115,4.9,65403,St. Clair,Alabama
1117,3.9,77801,Shelby,Alabama
1119,7,29209,Sumter,Alabama
1121,7,47719,Talladega,Alabama
1123,6.9,47100,Tallapoosa,Alabama
1125,6.6,52307,Tuscaloosa,Alabama
1127,5.8,45991,Walker,Alabama
1129,8,48864,Washington,Alabama
1131,14.7,30998,Wilcox,Alabama
1133,4.7,40827,Winston,Alabama
2013,4,66923,Aleutians East Borough,Alaska
2016,4.5,84726,Aleutians West Census Area,Alaska
2020,7.4,82512,Anchorage Municipality,Alaska
2050,11.6,48262,Bethel Census Area,Alaska
2060,7.4,87950,Bristol Bay Borough,Alaska
2068,15.7,78434,Denali Borough,Alaska
2070,8.2,57436,Dillingham Census Area,Alaska
2090,6.4,74076,Fairbanks North Star Borough,Alaska
2100,15.6,62548,Haines Borough,Alaska
2105,13.5,53141,Hoonah-Angoon Census Area,Alaska
2110,6.6,85419,Juneau City and Borough,Alaska
2122,9.1,68625,Kenai Peninsula Borough,Alaska
2130,9.6,75706,Ketchikan Gateway Borough,Alaska
2150,6.2,79669,Kodiak Island Borough,Alaska
2164,9.4,51693,Lake and Peninsula Borough,Alaska
2170,8.3,75856,Matanuska-Susitna Borough,Alaska
2180,10.5,58464,Nome Census Area,Alaska
2185,5.9,84784,North Slope Borough,Alaska
2188,12,61660,Northwest Arctic Borough,Alaska
2195,8.7,71296,Petersburg Borough,Alaska
2198,9.2,50049,Prince of Wales-Hyder Census Area,Alaska
2220,6.9,80660,Sitka City and Borough,Alaska
2230,21.5,74898,Skagway Municipality,Alaska
2240,7.4,69646,Southeast Fairbanks Census Area,Alaska
2261,8.7,74574,Valdez-Cordova Census Area,Alaska
2275,8.4,62496,Wrangell City and Borough,Alaska
2282,8.5,61587,Yakutat City and Borough,Alaska
2290,12.1,42063,Yukon-Koyukuk Census Area,Alaska
4001,12.8,35386,Apache,Arizona
4003,7,48650,Cochise,Arizona
4005,9.7,58301,Coconino,Arizona
4007,7.7,45980,Gila,Arizona
4009,6.3,50685,Graham,Arizona
4011,5.5,68066,Greenlee,Arizona
4012,7.1,39407,La Paz,Arizona
4013,7.4,68634,Maricopa,Arizona
4015,10,49712,Mohave,Arizona
4017,10.1,40676,Navajo,Arizona
4019,7.7,56150,Pima,Arizona
4021,7.5,62067,Pinal,Arizona
4023,11.4,47779,Santa Cruz,Arizona
4025,7.5,54242,Yavapai,Arizona
4027,17.1,47024,Yuma,Arizona
5001,4,52539,Arkansas,Arkansas
5003,9.3,47744,Ashley,Arkansas
5005,5.9,41950,Baxter,Arkansas
5007,4.5,70775,Benton,Arkansas
5009,5.3,50083,Boone,Arkansas
5011,5.8,39982,Bradley,Arkansas
5013,5.2,48415,Calhoun,Arkansas
5015,5.7,43841,Carroll,Arkansas
5017,10.3,37014,Chicot,Arkansas
5019,5.9,44105,Clark,Arkansas
5021,6,40686,Clay,Arkansas
5023,7.6,46214,Cleburne,Arkansas
5025,6.1,53773,Cleveland,Arkansas
5027,6.8,42964,Columbia,Arkansas
5029,6,46924,Conway,Arkansas
5031,5.3,47766,Craighead,Arkansas
5033,5.4,44600,Crawford,Arkansas
5035,8.3,41976,Crittenden,Arkansas
5037,6.1,45273,Cross,Arkansas
5039,5.3,41314,Dallas,Arkansas
5041,7,37005,Desha,Arkansas
5043,6.9,44162,Drew,Arkansas
5045,5.4,58482,Faulkner,Arkansas
5047,5.6,45670,Franklin,Arkansas
5049,5.1,32926,Fulton,Arkansas
5051,8,45786,Garland,Arkansas
5053,5.2,58566,Grant,Arkansas
5055,6,47098,Greene,Arkansas
5057,5.2,40867,Hempstead,Arkansas
5059,5.8,45860,Hot Spring,Arkansas
5061,5,41427,Howard,Arkansas
5063,5.8,47903,Independence,Arkansas
5065,8.4,40233,Izard,Arkansas
5067,7.1,38636,Jackson,Arkansas
5069,8,40555,Jefferson,Arkansas
5071,6.3,40396,Johnson,Arkansas
5073,7.6,37164,Lafayette,Arkansas
5075,6.1,39604,Lawrence,Arkansas
5077,7.5,30421,Lee,Arkansas
5079,6,44272,Lincoln,Arkansas
5081,6.4,43257,Little River,Arkansas
5083,6.6,42249,Logan,Arkansas
5085,5.5,62782,Lonoke,Arkansas
5087,3.9,48016,Madison,Arkansas
5089,6.4,38760,Marion,Arkansas
5091,6.9,50905,Miller,Arkansas
5093,9,39990,Mississippi,Arkansas
5095,6.7,34289,Monroe,Arkansas
5097,6.8,39591,Montgomery,Arkansas
5099,5.9,36528,Nevada,Arkansas
5101,5,37648,Newton,Arkansas
5103,6,46393,Ouachita,Arkansas
5105,5.5,50560,Perry,Arkansas
5107,9.1,31521,Phillips,Arkansas
5109,5.9,44426,Pike,Arkansas
5111,5.5,40536,Poinsett,Arkansas
5113,6.6,39722,Polk,Arkansas
5115,5.9,47519,Pope,Arkansas
5117,5.3,46205,Prairie,Arkansas
5119,7.4,52684,Pulaski,Arkansas
5121,5.9,42875,Randolph,Arkansas
5123,7.9,34389,St. Francis,Arkansas
5125,5.1,66944,Saline,Arkansas
5127,4.5,38065,Scott,Arkansas
5129,6.4,34712,Searcy,Arkansas
5131,6,48945,Sebastian,Arkansas
5133,5.8,43493,Sevier,Arkansas
5135,7.1,37591,Sharp,Arkansas
5137,7.1,36930,Stone,Arkansas
5139,8.3,46602,Union,Arkansas
5141,7.1,38096,Van Buren,Arkansas
5143,4.6,52158,Washington,Arkansas
5145,6.2,46388,White,Arkansas
5147,5.8,36568,Woodruff,Arkansas
5149,5.1,44469,Yell,Arkansas
6001,8.8,107589,Alameda,California
6003,11.2,58112,Alpine,California
6005,9.1,62640,Amador,California
6007,9.2,58394,Butte,California
6009,7.6,68248,Calaveras,California
6011,16,59048,Colusa,California
6013,8.9,106555,Contra Costa,California
6015,9.5,48979,Del Norte,California
6017,8.3,86202,El Dorado,California
6019,11.3,56926,Fresno,California
6021,8.9,55682,Glenn,California
6023,8.4,51134,Humboldt,California
6025,22.5,48102,Imperial,California
6027,7.8,59605,Inyo,California
6029,12.5,53245,Kern,California
6031,11.6,57297,Kings,California
6033,9.6,46897,Lake,California
6035,7.1,53613,Lassen,California
6037,12.8,72721,Los Angeles,California
6039,10.8,61105,Madera,California
6041,6.7,112069,Marin,California
6043,10.9,52760,Mariposa,California
6045,8.9,52309,Mendocino,California
6047,12.2,59733,Merced,California
6049,8.5,45311,Modoc,California
6051,11.8,66226,Mono,California
6053,10.8,76509,Monterey,California
6055,8.7,90230,Napa,California
6057,8,69550,Nevada,California
6059,8.8,95761,Orange,California
6061,7.3,97688,Placer,California
6063,10.7,59376,Plumas,California
6065,9.9,72905,Riverside,California
6067,9.3,71891,Sacramento,California
6069,9.9,84209,San Benito,California
6071,9.4,67398,San Bernardino,California
6073,9.2,83576,San Diego,California
6075,7.8,121795,San Francisco,California
6077,11.3,68458,San Joaquin,California
6079,7.7,76599,San Luis Obispo,California
6081,6.9,135234,San Mateo,California
6083,8,74530,Santa Barbara,California
6085,7,132444,Santa Clara,California
6087,9.5,85770,Santa Cruz,California
6089,8.7,61464,Shasta,California
6091,8,55862,Sierra,California
6093,9.7,45954,Siskiyou,California
6095,9.5,85704,Solano,California
6097,7.9,87084,Sonoma,California
6099,10.7,62761,Stanislaus,California
6101,11,60910,Sutter,California
6103,8.8,51672,Tehama,California
6105,8,43881,Trinity,California
6107,13.2,56776,Tulare,California
6109,10.4,64729,Tuolumne,California
6111,8.6,91446,Ventura,California
6113,7.5,70951,Yolo,California
6115,10.5,56607,Yuba,California
8001,8,75341,Adams,Colorado
8003,6.4,38213,Alamosa,Colorado
8005,7.9,82364,Arapahoe,Colorado
8007,7.6,57604,Archuleta,Colorado
8009,2.3,38945,Baca,Colorado
8011,4.4,35764,Bent,Colorado
8013,6.2,88341,Boulder,Colorado
8014,6.6,106892,Broomfield,Colorado
8015,6.3,60331,Chaffee,Colorado
8017,2.4,52337,Cheyenne,Colorado
8019,8.5,79900,Clear Creek,Colorado
8021,5.6,40944,Conejos,Colorado
8023,7.2,34731,Costilla,Colorado
8025,5.4,38224,Crowley,Colorado
8027,5,57381,Custer,Colorado
8029,6.6,51525,Delta,Colorado
8031,8.2,75456,Denver,Colorado
8033,6.9,50232,Dolores,Colorado
8035,5.8,123697,Douglas,Colorado
8037,9.5,89268,Eagle,Colorado
8039,4.7,101733,Elbert,Colorado
8041,7.3,72675,El Paso,Colorado
8043,7.7,52239,Fremont,Colorado
8045,6.8,73788,Garfield,Colorado
8047,11.3,74806,Gilpin,Colorado
8049,8.4,71029,Grand,Colorado
8051,6.6,60408,Gunnison,Colorado
8053,4.2,61391,Hinsdale,Colorado
8055,9.4,39955,Huerfano,Colorado
8057,4.3,53577,Jackson,Colorado
8059,7.1,89696,Jefferson,Colorado
8061,2.3,46901,Kiowa,Colorado
8063,2.8,42951,Kit Carson,Colorado
8065,8.2,56850,Lake,Colorado
8067,6.8,77829,La Plata,Colorado
8069,6.3,75332,Larimer,Colorado
8071,7.4,43452,Las Animas,Colorado
8073,4.5,43077,Lincoln,Colorado
8075,4.7,58429,Logan,Colorado
8077,7.5,60249,Mesa,Colorado
8079,5.8,63015,Mineral,Colorado
8081,6,63232,Moffat,Colorado
8083,7.1,52641,Montezuma,Colorado
8085,6.6,50707,Montrose,Colorado
8087,5.4,57535,Morgan,Colorado
8089,6.2,43723,Otero,Colorado
8091,8.1,72836,Ouray,Colorado
8093,5.7,77221,Park,Colorado
8095,2.7,53432,Phillips,Colorado
8097,10.5,92820,Pitkin,Colorado
8099,4.4,47051,Prowers,Colorado
8101,8.2,51075,Pueblo,Colorado
8103,5.4,65960,Rio Blanco,Colorado
