County	State	% Democrat	% Republican	% Other	% Voted of Population	Total Votes
New York	New York	0.8597600530364055	0.12144909146641385	0.01020380521952367	0.41399119729012995	701405
San Francisco	California	0.8525610242744385	0.1271933680980627	0.006538113821798071	0.5075180356192753	443553
Orleans	Louisiana	0.8314859491955303	0.14995023029035143	0.009549035817319858	0.4630739302650802	177819
Marin	California	0.8232561124302125	0.15794134633895912	0.004299557209779889	0.5940431761086608	155830
St. Louis City	Missouri	0.8223759402989534	0.16041294717891638	0.0011503955418437704	0.4438884799289073	133867
Bronx	New York	0.8218659155085928	0.15666086184288122	0.016396892684765692	0.2936188677041586	432399
Philadelphia	Pennsylvania	0.814416956555167	0.17904520911762842	NA	0.4622636156570938	741377
Suffolk	Massachusetts	0.8021646305301862	0.17380204009014352	0.010233068437907722	0.4226404122636402	337240
Alameda	California	0.8020816289428234	0.17700858363525393	0.006678613632526914	0.45773390007923426	770070
Denver	Colorado	0.7955051557909651	0.1818504985666368	0.007155389775765624	0.5504079539133667	393829
