County	State	% Democrat	% Republican	% Other	% Voted of Population	Total Votes
Davidson	Tennessee	0.6449147123600876	0.32364091998269057	0.03144436765722184	0.4325533186940901	309658
Coffee	Tennessee	0.23494769788320566	0.7364714603409933	0.028580841775801006	0.41945792810378485	24282
Montgomery	Tennessee	0.4230438521066208	0.5496104640558639	0.027345683837515306	0.34879060658248096	76758
Chittenden	Vermont	0.7538421786987752	0.20778254353780165	0.02579711642809157	0.5748174640423471	96755
Roane	Tennessee	0.23316741906856503	0.741984025928927	0.024848555002508006	0.485300726537338	25917
Madison	Alabama	0.4481560017867503	0.5277074658438031	0.02413653236944657	0.501778937686943	194767
Wilson	Tennessee	0.2993945916857258	0.6766581461052065	0.02394726220906767	0.5031237943101593	74330
Sevier	Tennessee	0.20032158033765934	0.775996324796141	0.02368209486619961	0.4425188046350884	43535
Dickson	Tennessee	0.25103811207499077	0.7253628253093779	0.023599062615631296	0.4478136794623953	24323
Laramie	Wyoming	0.33638393350575857	0.6165528218051595	0.023564781042067336	0.45006566380133717	45237
