County	State	% Democrat	% Republican	% Other	% Voted of Population	Total Votes
Cullman	Alabama	0.10699863802537574	0.8812214761893383	0.011779885785285896	0.47630482780597727	41851
Campbell	Wyoming	0.09804915125411705	0.8601469470483912	0.01981251583481125	0.4196614638710501	19735
Brown	Texas	0.13194313983342726	0.8577869622393387	3.7572797294758596e-4	0.4191888699304371	15969
Dekalb	Alabama	0.14583049461779535	0.8436776127537812	0.010491892628423491	0.40995419506200426	29356
Marshall	Alabama	0.1498676081200353	0.8369940738872778	0.013138317992686924	0.4062512805802565	39655
Covington	Alabama	0.15611015490533564	0.8368330464716007	0.0070567986230636835	0.46393398988554696	17430
Wise	Texas	0.15365363818940214	0.8352232349760543	9.269272362119573e-5	0.4715730271593426	32365
Walker	Alabama	0.15508501764517163	0.8341995508501765	0.010715431504651908	0.47702855743625844	31170
Holmes	Ohio	0.15401251255117016	0.8338611261296053	0.002471615045956592	0.29276620762951405	12947
Jackson	Alabama	0.15726011169402607	0.8322051108478592	0.010534777458114741	0.4495330835504669	23636
